MeetDate,MeetStart,HomeTeam,VisitingTeam,SwimCourse,MeetName,Location,MeetTemplateID,Team3,Team4,Team5,Team6,Team7,Team8,Team9,Team10,Team11,Team12,Team13,Team14,Team15,Team16,Team17,Team18,Team19,Team20
7/26/2025,9:00 AM,GPSA,LEAGUE,SCM,2025 GPSA Summer Splash Invitational,Hampton Virginia Aquaplex,25270,BLMAR,COL,CV,EL,GPSA,GWRA,GG,HW,JRCC,KCD,MBKMT,POQ,RRST,RMMR,WYCC,WW,WO,WPPIR
8/2/2025,9:00 AM,GPSA,LEAGUE,SCM,2025 GPSA Championship Meet,Hampton Virginia Aquaplex,25272,BLMAR,COL,CV,EL,GPSA,GWRA,GG,HW,JRCC,KCD,MBKMT,POQ,RRST,RMMR,WYCC,WW,WO,WPPIR
